"titles","abstract","year","geography","categoryTitle","categoryText"
"CHILDHOOD LEAD-POISONING NEAR ABANDONED LEAD MINING AND SMELTING AREAS - A CASE-STUDY OF 2 AFFECTED HOUSEHOLDS","In October, 1990 the Missouri Department of Health entered a contract with the Agency for Toxic Substances and Disease Registry (ATSDR) to conduct an exposure study at the Jasper County, Missouri Superfund Site. The primary concern was exposure to elevated levels of lead and cadmium resulting from previous mining of lead and zinc in the area. Several individuals were found to have elevated lead levels and this article is a case study of two households where children with elevated levels resided Due to the lowering of the Centers for Disease Control and prevention (CDC) standard for a level of concern in childhood lead poisoning from 25 mug/dl to 10 mug/dl, many environmental health personnel may be requested to evaluate exposure routes and give advice regarding risk reduction to families who reside in areas not previously thought to be problematic. Accomplishing this risk reduction may require passage of local ordinances requiring lead abatement, additional training of field personnel, and cooperative work with other public and governmental entities.","1993","Missouri","None","None"
"HOME CONDITION AND LEAD LEVELS - A CASE-STUDY FROM THE HOMES OF PRESCHOOLERS IN MT PLEASANT, MICHIGAN","This study assessed the relationship between soil and dust lead (Pb) levels and building material, exterior and interior (including window sill) condition, pet ownership, and the presence of a fireplace. Four dust samples and one soil sample were collected from the homes of 42 preschoolers in Mt. Pleasant, Michigan. The results of atomic absorption spectroscopy revealed that median Pb levels for both soil and dust were two to ten times higher for homes with wood exteriors. Significant variation in soil and dust Pb levels also occurred as a function of home wall condition. Poorly maintained homes had the highest Pb levels. No consistent significant relationship was observed between home Pb levels and a) the presence of pets and b) the presence of a fireplace. On the whole, households participating in the study had low Pb levels. This finding can be attributed to excellent home upkeep by the part of study participants.","1994","Michigan","None","soil"
"Is there lead in the suburbs? Risk assessment in Chicago suburban pediatric practices. Pediatric Practice Research Group","OBJECTIVE: This study was designed to determine: (1) the prevalence of elevated blood lead (BPb) levels (BPb > or = 10 micrograms/dL) in Chicago suburban children attending Pediatric Practice Research Group practices at 12 and 24 months of age, and (2) the efficacy of the Centers for Disease Control and Prevention (CDC) and Illinois lead exposure risk assessment questions. METHODS: Parents bringing their 1- and 2-year-old children for health supervision visits at pediatric practices completed questionnaires. BPb levels were drawn on children. Both questionnaire and an analyzable BPb level were obtained on 1393 subjects (79.2%). RESULTS: Only 2.1% of our sample had a venous BPb level > or = 10 micrograms/dL (0.48 mumol/L); no subjects had a level > or = 30 micrograms/dL (1.45 mumol/L). The CDC risk assessment questions had a sensitivity of .69 and specificity of .70. Due to the low prevalence of elevated BPb levels in this sample, CDC and Illinois screening strategies had high negative predictive values (.99) and low positive predictive values (.05 and .04, respectively). However, some of the subjects with BPb levels > or = 10 micrograms/dL were not at high risk by CDC and Illinois screening questions; 9 of 29 subjects with elevated lead levels (31%) did not respond affirmatively to any CDC risk assessment questions. The question best predicting an elevated BPb was the determination that the house the child lives in was built before 1960 (sensitivity = .83, specificity = .67). This question is not currently included in CDC or Illinois screening strategies. Screening based on the single question ""Was your house built before 1960?"" would have missed only five (17%) of the children with BPb levels > or = 10 micrograms/dL. Three of these five children were among the 17.1% of 1-year-olds and 26.3% of 2-year-olds in our sample who had moved. CONCLUSIONS: In this sample, children living in houses built before 1960 should be considered at high risk for high-dose lead exposure. Due to the high mobility of our sample, phrasing the question to include lifetime exposure (ie, Has your child ever lived in a house built before 1960?) should also be considered. Selective BPb testing of high-risk children in low-prevalence suburban areas using this question would miss few children with elevated BPb. Useful risk assessment questions in other areas and other populations may differ.","1994","Illinois","None","None"
"LEAD-POISONING AMONG BATTERY RECLAMATION WORKERS IN ALABAMA","Lead exposures were evaluated at a battery reclamation facility in Alabama. A questionnaire obtained work and health information. Medical tests included blood lead, zinc protoporphyrin, hematocrit, creatinine, blood urea nitrogen, and uric acid. An investigation of workers' family members and neighborhood residents was conducted. Fourteen of 15 workers had blood lead levels greater than 50 mug/dL. Zinc protoporphyrin was >79 mug/dL in 14 workers. Four workers had hematocrit <40%; six had elevated serum creatinine (>1.3 mg/dL). Workers' blood lead levels increased significantly over 2 years (beta = 1.004 mug/dL per month). Ten workers had elevated air lead levels. Twelve of 16 employee children had blood lead levels >10 mug/dL; 3 were greater than 40 mug/dL. Workers' children had significantly higher blood lead levels than did neighborhood comparison children. Reclamation of lead batteries unaccompanied by smelting poses a health hazard to workers and their children.","1994","Alabama","None","social"
"Retrospective study of the impact of lead-based paint hazard remediation on children's blood lead levels in St. Louis, Missouri","A retrospective follow-up study was conducted to evaluate the effectiveness of lead-based paint hazard remediation in reducing children's blood lead levels. The authors reviewed existing St. Louis, Missouri, City Health Department records, identified 185 children younger than age 6 years who had blood lead levels > or = 25 micrograms/dl during 1989 or 1990, and compared changes in blood lead levels among children whose dwellings did and those whose dwellings did not undergo remediation. Among 54 children who had not moved or received chelation therapy and whose blood lead levels were measured 10-14 months after diagnosis, the geometric mean blood lead level decreased 23% among children living in remediated dwellings (n = 37) and 12% among children in nonremediated dwellings (n = 17) (p = 0.07, t test). The estimated size of the remediation effect was similar using multiple regression (-13%; 95% confidence interval (CI) -25 to 1; p = 0.06) and an approach based on generalized estimating equations (-16%, 95% CI -25 to -7; p = 0.002), when adjusted for covariates. The effect of remediation was greater among children whose blood lead levels at diagnosis were > or = 35 micrograms/dl (-22%) than among those whose blood lead levels at diagnosis were between 25 and 34 micrograms/dl (-1%). Among lead-poisoned children in St. Louis, children whose dwellings undergo lead-based paint hazard remediation have a greater decline in geometric mean blood lead level than do children whose dwellings do not, but the effect of remediation may be influenced by the blood lead level at diagnosis.","1994","Missouri","None","None"
"Blood lead levels in children from lower socioeconomic communities in Denver, Colorado","We measured blood lead levels and inquired about environmental exposure pathways in 443 children aged 6 mo to 6 y in four lower socioeconomic Denver, Colorado, neighborhoods. Two neighborhoods were adjacent to a cadmium refinery. Eight percent of the children had blood lead levels > or = 10 micrograms/dl and 45% were below the detection limit of 4 micrograms/dl. Statistical analyses specific to the problem of below-detection values (i.e., dichotomization of variables, the probability plot method of estimation, and the bootstrap estimate of the standard error) were conducted to detect neighborhood differences. A child who lived in Globeville, the neighborhood surrounding the refinery, had a slightly higher probability of having a blood lead level > or = 5 micrograms/dl. Yet, the results as a whole documented the striking decline in blood lead levels in urban children after the deleading of gasoline.","1994","Colorado","social","None"
"Rural-urban blood lead differences in North Carolina children","OBJECTIVE: To examine the prevalence of and risk factors for having a blood lead elevation among young children in a predominantly rural state. METHODS: 20,720 North Carolina children at least 6 months and < 6 years of age were screened between November 1, 1992 and April 30, 1993 using either capillary or venous measurements of blood lead. Children were tested through routine screening programs that target low-income families and, hence, were not randomly selected. Eighty-one percent of the children were screened through local public health departments, and 19% were tested at private clinics. RESULTS: The estimated prevalences of having an elevated blood lead level among those tested were: 20.2% (> or = 10 micrograms/dL), 3.2% (> or = 15 micrograms/dL), and 1.1% (> or = 20 micrograms/dL). Black children were at substantially increased risk of having a blood lead > or = 15 micrograms/dL (odds ratio (OR) = 2.1, 95% confidence interval (CI) = 1.7 to 2.5). Children aged 2 years old had an elevated risk (OR = 1.4, 95% CI = 1.1 to 1.7) compared to 1-year-olds, and males were at slightly increased risk (OR = 1.2, 95% CI = 1.0 to 1.4). Living in a rural county was nearly as strong a risk factor as race (OR = 1.9, 95% CI = 1.6 to 2.4). The effect of rural residence was even greater among certain subgroups of children already at highest risk of having an elevated blood lead. The type of clinic (public vs private) where a child was screened was not associated with blood lead outcome. These same trends were seen for children with blood lead levels > or = 20 micrograms/dL. CONCLUSIONS: Among children screened from rural communities, the prevalence of elevated blood lead is surprisingly high. Though few physicians have embraced universal lead screening, these data support the need for greater awareness of lead exposure in children living outside of inner-cities.","1994","North Carolina","None","None"
"THE LONGER-TERM EFFECTIVENESS OF RESIDENTIAL LEAD PAINT ABATEMENT","Residential lead-based paint and settled dust are important sources of lead exposure in U.S. children. Scant information exists on the long-term effectiveness of alternative lead abatement practices. In this extended (1.5-3.5 years) follow-up study of comprehensive abatement, 179 wipe dust samples were collected in 13 occupied dwellings for which pre-and immediately postabatement (clearance) dust lead data were available. Dust lead loadings (mg/m(2)) 1.5 to 3.5 years postabatement were 16, 10, and 4% of preabatement levels for floors, window sills, and window wells, respectively. Furthermore, 78% of readings remained within Maryland's interim clearance standards, indicating that sustained reductions of dust lead hazards were achieved in comprehensively abated dwellings located in older unabated housing areas. (C) 1994 Academic Press, Inc.","1994","Maryland","None","None"
"Poisoned landscapes: the epidemiology of environmental lead exposure in Massachusetts children 1990-1991","This research models the geographic variation in lead poisoning among children living in Massachusetts between 1990 and 1991. Elevated levels of blood lead, which reduce educational performance, arise because children are exposed to unnaturally concentrated sources of lead in the built environment. A Poisson regression model indicates that a large number of children with lead poisoning may be detected in towns with a high proportion of older housing, female headed households, African-Americans, and an industrial heritage. Our results suggest links between the processes of urbanization and industrialization in Massachusetts and today's lead poisoned landscapes.","1994","Massachusetts","None","None"
"Elevated blood lead levels among construction workers in the Massachusetts Occupational Lead Registry","Although the construction industry until recently was exempt from the Occupational Health and Safety Administration General Industry Lead Standard, including its medical monitoring provisions, periodic blood lead tests have been required for residential ""deleaders"" and structural painters in Massachusetts. Sixty-three percent of the 381 registrants in the Massachusetts Occupational Lead Registry with blood lead levels of 1.93 mumol/L or higher are construction workers. This proportion is much higher than that reported by registries of several states selected for comparison. These data highlight the need for better protection from lead exposure and the effectiveness of mandatory medical surveillance in identifying elevated blood lead levels among construction workers.","1994","Massachusetts","None","None"
"Home abatement and blood lead changes in children with class III lead poisoning","We studied the effect of home abatement on blood lead (PbB) levels in children from central Massachusetts who had not undergone chelation therapy and whose homes were abated between 1987 and 1990, when stricter abatement guidelines were enacted. One hundred and thirty-two children with a mean preabatement PbB of 25.9 micrograms/dL (1.25 mumol/L) were studied: their mean postabatement PbB (up to 1 year later) was 21.1 micrograms/dL (1.02 mumol/L) (P < .001). This reduction correlated with preabatement PbB; 32 of 33 (97%) with preabatement PbB > or = 30 micrograms/dL (> or = 1.45 mumol/L) were lower postabatement, and 64 of 79 (81%) with PbB 20 to 29 micrograms/dL (0.97-1.40 mumol/L) were lower. However, in children with preabatement PbB < 20 micrograms/dL (< 0.97 mumol/L), only seven of 20 (35%) were lower postabatement and, in fact, there was a significant rise in PbB from 16.8 to 19.3 micrograms/dL (0.81 to 0.93 mumol/L) (P = 0.05). Continued improvement in home abatement technology is needed if that strategy is to be effective in achieving the lower PbB levels now mandated in the 1991 Centers for Disease Control guidelines. Primary prevention of the initial blood lead level elevation remains the most desirable strategy.","1994","Massachusetts","None","None"
"Relationship between soil lead, dust lead, and blood lead concentrations in pets and their owners: evaluation of soil lead threshold values","This paper reports the results of a study conducted in Granite City, Illinois during the months of August through October 1991. The study involved a subpopulation of 77 households having 106 dogs and cats which was a corollary to a major study conducted in humans by the Illinois Department of Public Health to evaluate lead exposure. A secondary lead smelter had been in operation in this town for almost 80 years and was shut down in 1982. Important soil contamination with lead was reported and this paper presents data regarding levels of soil and dust lead and associated blood lead concentrations in animals and their owners in a total of 77 households. Overall, blood lead concentrations (BLC) were low (0-13 micrograms/dl in the animal owners; 0-28 micrograms/dl in pets). There was no significant relationship between soil or dust lead and BLC in humans; however, the relationship was significant in animals. Odds ratios were computed to determine whether 500 or 1000 ppm lead in environmental samples was associated with increased risk of having a high BLC. We could not find any increased risk in humans, while the risk did increase in animals. It is concluded that animals are more at risk than their owners of having a high BLC when exposed to the same contaminated environment and can be used to monitor the bioavailability of lead.","1994","Illinois","social","soil"
"LEAD LEVELS IN THE HOUSEHOLD ENVIRONMENT OF CHILDREN IN 3 HIGH-RISK COMMUNITIES IN CALIFORNIA","To assess environmental lead contamination in the household environment of children in high-risk areas of California, three urban locations were surveyed by the California Department of Health Services. Plant, soil, and dust lead levels were measured and a questionnaire was administered. This survey estimates that 3 million homes in California (27%) may have exterior paint lead levels greater than or equal to 5000 ppm, and 1.3 million homes (12%) may have interior paint lead levels greater than or equal to 5000 ppm. The highest concentrations of lead in paint were found on exterior surfaces and, for homes built between 1920 and 1959, on trim. Age of housing was the best predictor of lead in soil and dust; homes built before 1920 were 10 times more likely to have soil lead levels greater than or equal to 500 ppm compared to post-1950 homes. Most of the variability in dust lead levels could not be explained by factors measured in this survey. Sources of lead in the home were more highly correlated with lead dust concentration levels than they were with lead dust loading levels. Households with members reporting a lead job were twice as likely to have high dust lead levels compared to households with no one reporting a lead job. The significant differences in dust lead concentration levels between communities were not reflected in differences in dust lead loading levels. Measuring dust lead loading levels does not appear to be a meaningful sampling method for risk assessment in the context of prioritizing abatement. (C) 1995 Academic Press, Inc.","1995","California","None","None"
"LEAD IN INNER-CITY SOIL AND ITS POSSIBLE CONTRIBUTION TO CHILDRENS BLOOD LEAD","This study was designed to assess distribution and sources of lead in inner-city soils in Washington, D.C. Duplicate soil samples were collected randomly from 239 unpaved front yards of homes in Washington, D.C. Soil samples were collected 1 m from the houses. Lead concentration in soil was determined by flame atomic absorption spectrophotometry. Presence of lead detected in soil was correlated and traced to the anticipated source of origin. A significantly high concentration of lead was present in inner-city soils. Areas of the city in which the highest lead concentrations were found (Wards 1, 4, 5, 6, 7, 8) were determined to contain a large number of residents who had attained lower education levels than most residents in the remaining wards. It was concluded that lead concentration in inner-city soil plays a significant role in the incidence of lead poisoning in children in the District of Columbia and that paint is the main source of soil lead. Demographic characteristics of the residents appeared to enhance the distribution of lead poisoning.","1995","Washington","soil","soil"
"LEAD IN INNER-CITY SOIL AND ITS POSSIBLE CONTRIBUTION TO CHILDRENS BLOOD LEAD","This study was designed to assess distribution and sources of lead in inner-city soils in Washington, D.C. Duplicate soil samples were collected randomly from 239 unpaved front yards of homes in Washington, D.C. Soil samples were collected 1 m from the houses. Lead concentration in soil was determined by flame atomic absorption spectrophotometry. Presence of lead detected in soil was correlated and traced to the anticipated source of origin. A significantly high concentration of lead was present in inner-city soils. Areas of the city in which the highest lead concentrations were found (Wards 1, 4, 5, 6, 7, 8) were determined to contain a large number of residents who had attained lower education levels than most residents in the remaining wards. It was concluded that lead concentration in inner-city soil plays a significant role in the incidence of lead poisoning in children in the District of Columbia and that paint is the main source of soil lead. Demographic characteristics of the residents appeared to enhance the distribution of lead poisoning.","1995","District of Columbia","soil","soil"
"Risk of lead poisoning in abused and neglected children","This study examined the prevalence of lead poisoning in 746 abused and neglected children taken into protective custody by Cook County, Illinois, Child Protective Services, Department of Children and Family Services (DCFS). Most of these children had a history of neglect (62%) or dependency (23%); they were predominantly African-American (88%). Venous blood lead concentrations (PbB) were obtained on 589 children, ages 6 months to 6 years, between January 1, 1992, and December 31, 1992. Three hundred eighty-one (64.7%) children tested had a PbB > or = 10 micrograms/dL (0.48 mumol/L); the mean PbB was 12.23 micrograms/dL (0.587 mumol/L). These data support a recommendation for lead screening in any child with a history of abuse or neglect if environmental risk factors cannot be assessed.","1995","Illinois","None","None"
"Elevated blood lead prevalence in Florida two-year-olds","The prevalence of blood lead values of 10 mcg/dl or higher was estimated in Florida two-year-olds in a population-based random sample survey. Subjects were chosen at random from birth certificates of children born in Florida in mid-1991. Parents were interviewed and children's blood specimens obtained in the summer of 1993. Results are based on 387 subjects. Overall prevalence of elevated blood lead was 3.2% (95% confidence limits 2.2, 4.0), with nine children in the range of 10 to 14 mcg/dl and four of 15 or over. In certain subgroups, prevalence was higher: nonwhite 9.4% (2.9, 15.9); mother not married 8.3% (3.1, 13.5); mother on Medicaid 6.7% (2.5, 10.8); housing built in 1978 or before 7.1% (2.3, 11.8); yard dirt or dirt plus grass 10.8% (4.6, 16.9). In Florida, prevalence is much lower than in the nation as a whole. A screening strategy that concentrates on screening Medicaid-eligible children and those living in homes built before 1978 would appear to be quite efficient and may uncover a prevalence of 7.0% or more.","1995","Florida","None","None"
"CHILDHOOD LEAD-POISONING IN MASSACHUSETTS COMMUNITIES - ITS ASSOCIATION WITH SOCIODEMOGRAPHIC AND HOUSING CHARACTERISTICS","Objectives. The purpose of the study was to examine the relationship between communities' sociodemographic and housing characteristics and incidence of lead poisoning. Methods. This was a population-based correlational study of 238 275 Massachusetts children from birth through 4 years of age who were screened for lead poisoning in 1991-1992. A logistic regression model was developed with the community as the unit of analysis, the case identification rate for lead poisoning (newly identified children with venous blood lead greater than or equal to 25 mu g/dL per 1000 children) as the dependent variable, and US census variables as independent variables. Results. A significant independent relationship with the community case identification rate of lead poisoning was found for seven variables: median per capita income, percentage of housing built before 1950, percentage of the population who were Black, percentage of children screened, and a ''poverty index.'' Rates of iron deficiency and percentage of Hispanics were not associated with the case identification rate of lead poisoning. Conclusions. Massachusetts communities' incidence of lead poisoning is correlated with sociodemographic and housing characteristics. In states similar to Massachusetts and without screening data, this model may help target screening programs.","1995","Massachusetts","None","None"
"Leaded eye cosmetics: a cultural cause of elevated lead levels in children","BACKGROUND: Preventing lead exposure is of paramount importance because lead is significantly toxic at subclinical levels, and treating patients with elevated blood lead levels is difficult. Children were evaluated for lead exposure in California through a state-mandated lead screening program that was begun in November 1991. Imported eye cosmetics were identified as a suspected source of lead exposure for Pakistani and Indian children who used these products. METHODS: A retrospective chart review of children at a county hospital clinic was undertaken for the period beginning October 1991 and ending February 1994. Lead exposure questionnaires were filled out at clinic visits, and telephone interviews were conducted with parents or guardians of children from ethnic groups who use eye cosmetics. RESULTS: Lead level results were available for 175 children. The average lead level was 4.3 micrograms/dL (0.21 mumol/L) for Pakistani/Indian children not using eye cosmetics and 12.9 micrograms/dL (0.62 mumol/L) (P = .03) for those using the products. Chemical evaluation of some of the eye cosmetics used by these children revealed high lead content. CONCLUSIONS: Use of eye cosmetics imported from Pakistan was found to be strongly correlated with elevated blood lead levels. Although importation of leaded eye cosmetics is prohibited by law, legislation has not been effective in protecting children from this source of lead exposure. Education regarding low-level lead toxicity and avoidance of substances containing lead is needed, particularly for targeted subpopulations.","1995","California","None","None"
